år,uke,attributt,verdi
2000,30,Laks_omsatt,3995.6410136324453
2000,30,Uke_omsatt,19319.575
2000,31,Laks_omsatt,3995.6410136324453
2000,31,Uke_omsatt,20577.57
2000,32,Laks_omsatt,3995.6410136324453
2000,32,Uke_omsatt,21597.64
2000,33,Laks_omsatt,3995.6410136324453
2000,33,Uke_omsatt,21893
2000,34,Laks_omsatt,3995.6410136324453
2000,34,Uke_omsatt,21668.431
2000,35,Laks_omsatt,3995.6410136324453
2000,35,Uke_omsatt,23500.415999999997
2000,36,Laks_omsatt,3995.6410136324453
2000,36,Uke_omsatt,22026.556
2000,37,Laks_omsatt,3995.6410136324453
2000,37,Uke_omsatt,21092.585
2000,38,Laks_omsatt,3995.6410136324453
2000,38,Uke_omsatt,19934.7
2000,39,Laks_omsatt,3995.6410136324453
2000,39,Uke_omsatt,22116.465
2000,40,Laks_omsatt,3995.6410136324453
2000,40,Uke_omsatt,17495.051
2000,41,Laks_omsatt,3995.6410136324453
2000,41,Uke_omsatt,17041.75
2000,42,Laks_omsatt,3995.6410136324453
2000,42,Uke_omsatt,17420.503
2000,43,Laks_omsatt,3995.6410136324453
2000,43,Uke_omsatt,17757.37
2000,44,Laks_omsatt,3995.6410136324453
2000,44,Uke_omsatt,12758.627
2000,45,Laks_omsatt,3995.6410136324453
2000,45,Uke_omsatt,15729.426
2000,46,Laks_omsatt,3995.6410136324453
2000,46,Uke_omsatt,13818.23
2000,47,Laks_omsatt,3995.6410136324453
2000,47,Uke_omsatt,12203
2000,48,Laks_omsatt,3995.6410136324453
2000,48,Uke_omsatt,12666.431
2000,49,Laks_omsatt,3995.6410136324453
2000,49,Uke_omsatt,12400.066
2000,50,Laks_omsatt,3995.6410136324453
2000,50,Uke_omsatt,13134.67
2000,51,Laks_omsatt,3995.6410136324453
2000,51,Uke_omsatt,13654.845000000001
2000,52,Laks_omsatt,3995.6410136324453
2000,52,Uke_omsatt,6356.171
2001,1,Laks_omsatt,3995.6410136324453
2001,1,Uke_omsatt,6131.36
2001,2,Laks_omsatt,3995.6410136324453
2001,2,Uke_omsatt,7072.83
2001,3,Laks_omsatt,3995.6410136324453
2001,3,Uke_omsatt,12413.6
2001,4,Laks_omsatt,3995.6410136324453
2001,4,Uke_omsatt,8623.46
2001,5,Laks_omsatt,3995.6410136324453
2001,5,Uke_omsatt,7472.29
2001,6,Laks_omsatt,3995.6410136324453
2001,6,Uke_omsatt,7498.38
2001,7,Laks_omsatt,3995.6410136324453
2001,7,Uke_omsatt,8339.77
2001,8,Laks_omsatt,3995.6410136324453
2001,8,Uke_omsatt,6023.54
2001,9,Laks_omsatt,3995.6410136324453
2001,9,Uke_omsatt,7384.15
2001,10,Laks_omsatt,3995.6410136324453
2001,10,Uke_omsatt,5267.21
2001,11,Laks_omsatt,3995.6410136324453
2001,11,Uke_omsatt,7126.32
2001,12,Laks_omsatt,3995.6410136324453
2001,12,Uke_omsatt,6648.08
2001,13,Laks_omsatt,3995.6410136324453
2001,13,Uke_omsatt,7017.5
2001,14,Laks_omsatt,3995.6410136324453
2001,14,Uke_omsatt,6410.72
2001,15,Laks_omsatt,3995.6410136324453
2001,15,Uke_omsatt,4004.97
2001,16,Laks_omsatt,3995.6410136324453
2001,16,Uke_omsatt,9712.62
2001,17,Laks_omsatt,3995.6410136324453
2001,17,Uke_omsatt,10493.93
2001,18,Laks_omsatt,3995.6410136324453
2001,18,Uke_omsatt,7529.43
2001,19,Laks_omsatt,3995.6410136324453
2001,19,Uke_omsatt,8982.15
2001,20,Laks_omsatt,3995.6410136324453
2001,20,Uke_omsatt,12860.75
2001,21,Laks_omsatt,3995.6410136324453
2001,21,Uke_omsatt,11945.07
2001,22,Laks_omsatt,3995.6410136324453
2001,22,Uke_omsatt,11444.11
2001,23,Laks_omsatt,3995.6410136324453
2001,23,Uke_omsatt,14376.44
2001,24,Laks_omsatt,3995.6410136324453
2001,24,Uke_omsatt,14476.64
2001,25,Laks_omsatt,3995.6410136324453
2001,25,Uke_omsatt,14960.58
2001,26,Laks_omsatt,3995.6410136324453
