ApplicationNo,CreatedAt,Status,Type,Title,ApplicantOrgNumber,ApplicantOrgName,WithdrawnAt,SubmittedAt,OverallResult,EvaluationFinishedAt,DecisionResult,DecisionTime,ProcessingDays
SP-2025-002068,2025-08-25T08:44:23.492440Z,SUBMITTED,CO_LOCATION_APPLICATION,VARHOLMEN,983506925,BENCHMARK GENETICS NORWAY AS,,,PENDING,,,,
SP-2025-002069,2025-08-29T13:30:54.230050Z,PROCESSED,SPECIAL_INTENTION_SITE_CLEARANCE,Lokalitetsklarering,916784430,DRIVA AQUACULTURE AS,,,PENDING,,,,
SP-2025-002070,2025-09-01T11:26:26.496349Z,SUBMITTED,LAND_BASED_AQUACULTURE,RØYKLIBOTN,958438370,NEPTUN SALMO AS,,,PENDING,,,,
SP-2025-002071,2025-09-03T08:31:27.104475Z,SUBMITTED,OTHER_FISH_SPECIES,Korsfura,974526441,NORDIC HALIBUT AS,,,PENDING,,,,
SP-2025-002072,2025-09-04T13:01:19.176945Z,SUBMITTED,LAND_BASED_AQUACULTURE,Utkast 4101,991193332,NORDLAKS SMOLT AS,,,PENDING,,,,
SP-2025-002073,2025-09-04T19:32:32.624587Z,SUBMITTED,CHANGE_SITE,ISANE,866751242,EIDE FJORDBRUK AS,,,PENDING,,,,
SP-2025-002074,2025-09-05T11:33:47.433285Z,SUBMITTED,NEW_SITE,Bolværet,918462511,TORGHATTEN FARMING AS,,,PENDING,,,,
SP-2025-002075,2025-09-09T08:42:52.918211Z,WITHDRAWN,SPECIAL_INTENTION,NAMDAL SETTEFISK AS,987245069,NAMDAL SETTEFISK AS,,,PENDING,,,,
SP-2025-002076,2025-09-09T11:30:04.547046Z,SUBMITTED,LAND_BASED_AQUACULTURE,LAUVSNES,864943632,FLATANGER SETTEFISK AS,,,PENDING,,,,
SP-2025-002077,2025-09-15T10:56:30.371498Z,SUBMITTED,NON_FISH_SPECIES,Sørfonden Slipp - Padda ,926824090,MAREA,,,PENDING,,,,
SP-2025-002078,2025-09-16T13:57:38.260987Z,PROCESSED,CO_LOCATION_APPLICATION,SKORVA,931887750,FLOKENES FISKEFARM AS,,,PENDING,,,,
SP-2025-002079,2025-09-17T09:56:55.099451Z,SUBMITTED,CHANGE_SITE,OKSØY,930152366,CERMAQ NORWAY SALMON AS,,,PENDING,,,,
SP-2025-002080,2025-09-18T10:25:28.628517Z,SUBMITTED,NEW_SITE,Øyfjorden,921668236,MOWI SEAWATER NORWAY AS,,,PENDING,,,,
SP-2025-002081,2025-09-19T06:45:15.816196Z,RETURNED,SPECIAL_INTENTION_SITE_CLEARANCE,Lokalitetsklarering,926924192,WILLIKSEN INDUSTRI AS,,,PENDING,,,,
SP-2025-002082,2025-09-19T08:55:15.380537Z,SUBMITTED,NON_FISH_SPECIES,Rødskjær N,926501836,PRONOFA ASA,,,PENDING,,,,
SP-2025-002083,2025-09-22T13:16:51.111795Z,PROCESSED,CHANGE_SITE,MULNESODDEN,921668236,MOWI SEAWATER NORWAY AS,,,PENDING,,,,
SP-2025-002084,2025-09-22T13:31:27.964444Z,SUBMITTED,SPECIAL_INTENTION,GRIEG SEAFOOD ROGALAND AS,838065392,GRIEG SEAFOOD ROGALAND AS,,,PENDING,,,,
SP-2025-002085,2025-09-23T10:49:11.622778Z,PROCESSED,MINOR_AREA_CHANGES,HELLERFLESA,932186497,BJØRØYA AS,,,PENDING,,,,
SP-2025-002086,2025-09-23T12:54:45.488580Z,SUBMITTED,CHANGE_SITE,KVITEBERG,921668236,MOWI SEAWATER NORWAY AS,,,PENDING,,,,
SP-2025-002087,2025-09-23T12:55:01.565334Z,SUBMITTED,CHANGE_SITE,ROGNDALEN,921601123,SJURELV FISKEOPPDRETT AS,,,PENDING,,,,
SP-2025-002088,2025-09-24T08:15:58.349693Z,PROCESSED,CO_LOCATION_MESSAGE,SEISKJÆRA,928957489,SALMAR OPPDRETT AS,,,PENDING,,,,
SP-2025-002089,2025-09-25T09:36:32.488610Z,SUBMITTED,CHANGE_SITE,STORVIKA III,816157382,SALAKS PRODUKSJON AS,,,PENDING,,,,
SP-2025-002090,2025-09-26T10:11:31.113934Z,SUBMITTED,CHANGE_SITE,GISLØY S,930152366,CERMAQ NORWAY SALMON AS,,,PENDING,,,,
SP-2025-002091,2025-09-26T14:02:40.224522Z,WITHDRAWN,CHANGE_SITE,SKÅLSVIKA,827248312,NOVA SEA HAVBRUK AS,,,PENDING,,,,
SP-2025-002092,2025-09-29T11:16:25.266730Z,PROCESSED,CO_LOCATION_APPLICATION,OTERSTEGDALEN,930391328,AS BOLAKS,,,PENDING,,,,
SP-2025-002093,2025-09-29T13:39:50.566596Z,SUBMITTED,NON_FISH_SPECIES,Kraknes Nord ,928608409,OCEANFOOD AS,,,PENDING,,,,
SP-2025-002094,2025-10-01T09:01:29.070480Z,WITHDRAWN,CO_LOCATION_APPLICATION,LAMØYA,929706331,FRØY HAVBRUK AS,,,PENDING,,,,
SP-2025-002095,2025-10-01T09:06:46.852167Z,PROCESSED,CO_LOCATION_APPLICATION,LANGTAREN,929706331,FRØY HAVBRUK AS,,,PENDING,,,,
SP-2025-002096,2025-10-01T09:09:39.830377Z,PROCESSED,CO_LOCATION_APPLICATION,HEGGESET,929706331,FRØY HAVBRUK AS,,,PENDING,,,,
SP-2025-002097,2025-10-01T13:01:40.991492Z,SUBMITTED,CHANGE_SITE,KOLVIKODDEN Ø,943609551,LOFOTEN SJØPRODUKTER AS,,,PENDING,,,,
SP-2025-002098,2025-10-01T13:35:48.660389Z,PROCESSED,CO_LOCATION_APPLICATION,KLAMPVIKA N,937357370,SINTEF OCEAN AS,,,PENDING,,,,
SP-2025-002099,2025-10-02T10:36:54.863323Z,RETURNED,SEA_FARMING,Jarnholmen,936147224,NORDIC SCALLOPS OSEN AS,,,PENDING,,,,
SP-2025-002100,2025-10-02T10:49:42.094946Z,RETURNED,SEA_FARMING,Grunnefjorden Sørøst,936147038,NORDIC SCALLOPS AUKRA AS,,,PENDING,,,,
SP-2025-002101,2025-10-02T10:51:50.969628Z,RETURNED,SEA_FARMING,Grunnefjorden Nord,936147038,NORDIC SCALLOPS AUKRA AS,,,PENDING,,,,
SP-2025-002102,2025-10-03T16:38:25.301689Z,SUBMITTED,MINOR_AREA_CHANGES,Varpet,827248312,NOVA SEA HAVBRUK AS,,,PENDING,,,,
SP-2025-002103,2025-10-06T07:57:53.076410Z,SUBMITTED,NEW_SITE,Esøya,918462511,TORGHATTEN FARMING AS,,,PENDING,,,,
SP-2025-002104,2025-10-06T09:25:43.254942Z,PROCESSED,SPECIAL_INTENTION,SVANØY HAVBRUK AS,988718181,SVANØY HAVBRUK AS,,,PENDING,,,,
SP-2025-002105,2025-10-08T06:06:43.487851Z,PROCESSED,CO_LOCATION_APPLICATION,KALVHYLLA,931064649,HELGELAND LAKS AS,,,PENDING,,,,
SP-2025-002106,2025-10-08T07:13:55.838363Z,SUBMITTED,NEW_SITE,Breivik,921668236,MOWI SEAWATER NORWAY AS,,,PENDING,,,,
SP-2025-002107,2025-10-08T09:06:43.605795Z,SUBMITTED,LAND_BASED_AQUACULTURE,Utsira Kvalvikvågen,928444678,NORWEGIAN MOUNTAIN SALMON AS,,,PENDING,,,,
SP-2025-002108,2025-10-09T06:36:10.629296Z,SUBMITTED,CHANGE_SITE,HØYDALSVIKA,945095016,ØYFISK AS,,,PENDING,,,,
SP-2025-002109,2025-10-09T06:39:06.630078Z,WITHDRAWN,SPECIAL_INTENTION,NORSK HAVBRUKSSENTER AS,918003126,NORSK HAVBRUKSSENTER AS,,,PENDING,,,,
SP-2025-002141,2025-10-09T13:21:35.024079Z,SUBMITTED,CO_LOCATION_APPLICATION,TEKSMONA,921668236,MOWI SEAWATER NORWAY AS,,,PENDING,,,,
SP-2025-002142,2025-10-10T13:32:16.435815Z,PROCESSED,SPECIAL_INTENTION_SITE_CLEARANCE,Lokalitetsklarering,918003126,NORSK HAVBRUKSSENTER AS,,,PENDING,,,,
SP-2025-002143,2025-10-14T06:15:50.532867Z,SUBMITTED,OTHER_FISH_SPECIES,HENDNESET,995292971,PURE NORWEGIAN SEAFOOD AS,,,PENDING,,,,
SP-2025-002144,2025-10-15T08:44:26.855181Z,PROCESSED,CO_LOCATION_APPLICATION,SEISKJÆRET,976253744,LETSEA AS,,,PENDING,,,,
SP-2025-002145,2025-10-15T11:56:12.393171Z,SUBMITTED,NEW_SITE,45128 Røneset ,930773840,HOFSETH SEA FARMING AS,,,PENDING,,,,
SP-2025-002146,2025-10-16T12:12:46.104829Z,PROCESSED,MINOR_AREA_CHANGES,GJERDINGA,926968955,SINKABERG HAVBRUK AS,,,PENDING,,,,
SP-2025-002147,2025-10-17T14:07:04.877149Z,SUBMITTED,SPECIAL_INTENTION_SITE_CLEARANCE,Lokalitetsklarering,980361306,GRIEG SEAFOOD FINNMARK AS,,,PENDING,,,,
SP-2025-002148,2025-10-20T03:45:54.403088Z,SUBMITTED,CO_LOCATION_APPLICATION,OTERVIKA,989041819,VAL SKOLER AS,,,PENDING,,,,
SP-2025-002149,2025-10-20T12:38:43.801774Z,PROCESSED,CO_LOCATION_APPLICATION,DRØNO,914380553,FYLKESNES FISK AS,,,PENDING,,,,
SP-2025-002150,2025-10-21T07:58:11.478592Z,SUBMITTED,OTHER_FISH_SPECIES,Båthella,821489962,NORCOD AS,,,PENDING,,,,
